text	label
计划<N>年在苏宁电器门店建设<N>家惠普体验店,惠普将向苏宁电器门店派驻<N>人的专业销售工程师;	(苏宁电器，“合作”，惠普),(惠普，“合作”，苏宁电器)
据了解,国电集团目前拥有国电电力、自治区。	(国电集团，“拥有”，国电电力)
安途生在天津锦联新经济产业园启航	(安途生，“合作”，天津锦联新经济产业园),(天津锦联新经济产业园，“合作”，安途生)
<N>月<N>日,封面新闻从国家食品药品监督管理总局获悉,在近期食品抽检中甘肃兰州华联综合超市所售雨润香辣热狗肠被检出菌落总数超标<N>.<N>倍,	(甘肃兰州华联综合超市，“合作”，雨润),(雨润，“合作”，甘肃兰州华联综合超市)
“牛郎”色诱招标公司中石化国际事业公司的一位女处长,在投资<N>亿元的中石化武汉乙烯项目中进行暗箱操作,在评标过程中让安捷伦非法降价<N>万美元低价中标,	(中石化，“合作”，安捷伦),(安捷伦，“合作”，中石化)
阿里集团完成股权回购PE参与或推动整体上市	(阿里集团，“合作”，PE),(PE，“合作”，阿里集团)
该公司控股股东为华电下属华电煤业集团公司,持股<N>%,而远东航运参股<N>%。	(华电，“拥有”，华电煤业集团公司)
在开幕式上,湖南省民政厅为步步高集团“福光基金”揭牌。	(步步高集团，“拥有”，福光基金)
联华超市是一家多业态的超市公司,每天大量的商品进出给食品验收工作带来极大的困难,该物流配送中心建成后,将大幅提高联华大卖场和标超的商品配送业务能力和生鲜	(联华，“拥有”，联华超市)
记者在深国商网站看到,晶岛的招商广告置于网站首页最显眼的位置,然而在内页招商信息、新驻品牌等信息栏里还是空白。	(深国商，“合作”，晶岛),(晶岛，“合作”，深国商)
本报讯中国建筑控股的香港红筹上市公司中国海外今天发布<N>年中期业绩报告。	(中国建筑，“拥有”，香港红筹)
但中粮也面临着两难,一方面要保持蒙牛现在团队在营销和市场拓展上的优势,另一方面要使企业管理特别是食品安全管理与中粮实现有效融合。	(中粮，“合作”，蒙牛),(蒙牛，“合作”，中粮)
