text	label
大为股份：公司目前暂无机器人产品有投资者问，请问贵公司有没有机器人产品大为股份在互动平台表示，公司目前暂无机器人产品，公司全资子公司深圳市大为创芯微电子科技有限公司主要产品有NAND、DRAM存储两大系列，为客户提供高性能、高品质的存储产品，可应用于智能电子等领域。	（深圳市大为创芯微电子科技有限公司，“生产”，NAND存储产品），（深圳市大为创芯微电子科技有限公司，“生产”，DRAM存储产品）
沧州明珠董秘：2024年隔膜及BOPA薄膜产品会有部分产能的释放 产能较上年会有所提升财联社1月4日电，有投资者问，尊敬的董秘，芜湖小批量供货是否代表隔膜检测已经通过？是否代表即将量产？请给予正面回复，是否意味着2024年整体产能即将提升，营业额和毛利净利都稳步提升？请逐个回复？沧州明珠在互动平台表示，隔膜产品需要一定时间的导入期，下游客户检测测试合格后才会进行采购。公司会及时关注进展情况并根据相关规定进行披露，请您届时关注公司相关公告。2024年隔膜及BOPA薄膜产品会有部分产能的释放，产能较上年会有所提升。	（沧州明珠，“生产”，隔膜产品），（沧州明珠，“生产”，BOPA薄膜产品）
振华科技：一季度业绩下滑，新签订单价格下降财联社3月18日电，有投资者问，董秘华为折叠屏手机热卖，近期苹果也官宣进军折叠手机市场，公司控股的安泰海美格以及其子公司安泰美科的MIM产品、钕铁硼产品等用于华为手机零部件、基站建设。公司非晶产业超过40年历史，公司在非晶材料和纳米晶材料方面是国内龙头企业，是否有技术研发或技术储备，进军柔性屏配铰链（MIM转轴）方面的产品？安泰科技在互动平台表示，公司非晶、纳米晶带材产品主要于输配电变压器、光伏逆变器、消费电子、新能源汽车等领域，暂时未涉及研发铰链方面的应用。	（安泰海美格，“供应商”，华为），（安泰美科，“供应商”，华为），（安泰海美格，“生产”，MIM产品），（安泰海美格，“生产”，钕铁硼产品），（安泰美科，“生产”，MIM产品），（安泰美科，“生产”，钕铁硼产品），（钕铁硼产品，“构成”，华为手机零部件），（MIM产品，“构成”，华为手机零部件），（安泰科技，“生产”，非晶、纳米晶带材产品）
利德曼：已向高博医院供应试剂产品，是“五个一”战略布局重要成员财联社5月24日电，有投资者问，公司是否有为华为mate 60、70系列提供显示电子材料等其他材料吗？翔腾新材在互动平台表示，公司主要产品包括各类规格的偏光片、光学膜片和功能性胶粘材料，这些产品可广泛应用于液晶电视、显示器、笔记本电脑、平板电脑、手机、穿戴设备、车载显示、工业控制及公共显示等各类光电显示产品中。暂未为HUAWEImate 60、70系列提供显示电子材料。	（翔腾新材，“生产”，各类规格的偏光片、光学膜片和功能性胶粘材料）
维信诺董秘：2023年四季度以来 随着消费电子行业景气度逐步提升 OLED产品价格有所上涨财联社3月5日电，有投资者问，看到不断有媒体报道和券商分析说从2023年四季度到现在，OLED是一个量价齐升的情况，公司这边有什么感觉吗？价格情况如何呢？维信诺在互动平台表示，2023年，国内OLED产能加速释放，OLED产品价格出现剧烈波动。根据市场情况，公司调整产品策略，持续优化产品结构，产品开发与产能释放加速匹配中高端智能手机机型。公司积极供应头部品牌客户旗舰系列产品上市，并成功拓展更多头部客户机型的产品导入，市场份额将显著提升。2023年四季度以来，随着消费电子行业景气度逐步提升，OLED产品价格有所上涨。	（维信诺，“生产”，OLED产品），（维信诺，“供应商”，头部品牌客户）
飞凯材料：TMO产品已实现量产且供货稳定【飞凯材料：TMO产品已实现量产且供货稳定】财联社11月18日电，飞凯材料在互动平台表示，公司TMO产品已经实现量产，目前供货稳定。	（飞凯材料，“生产”，TMO产品）
铂科新材：与MPS等客户合作为终端GPU厂商提供芯片电感产品有投资者问，董秘你好，英伟达在四季度即将推出重新命名的B300和GB300等采用Co­W­oS-L的GPU产品 G300能否给小股东从专业角度介绍一下，新的GPU以及AI服务器在电感芯片使用上相对公司供应的H100系列有多少增加，谢谢铂科新材在互动平台表示，您好，公司主要通过与MPS等客户合作为终端GPU厂商提供芯片电感产品，具体如何应用以及应用于哪家终端，由于与客户签署有保密协议不便具体披露，谢谢！	（铂科新材，“生产”，芯片电感产品），（铂科新材，“供应商”，终端GPU厂商）
东土科技：未参与金砖支付系统的安全建设有投资者问，2024年金砖国家峰会将于本月22日在喀山举行，金砖支付系统可能在今年十月即时推出。你司作为业界最早介入数据安全领域的专业网络安全公司，是国内信息安全行业龙头，长期为国内军政企提供网络安全软硬件产品和解决方案等。请问，你司是否会参与金砖支付系统的安全建设？你司在跨境支付（CIPS）网络安全领域有哪些产品矩阵和技术优势？东土科技在互动平台表示，公司未参与金砖支付系统的安全建设。	（东土科技，“生产”，网络安全软硬件产品和解决方案），（东土科技，“供应商”，军政企）
香山股份：公司是国内头部飞行汽车公司的供应商【香山股份：公司是国内头部飞行汽车公司的供应商】财联社3月12日电，香山股份在互动平台表示，公司是国内头部飞行汽车公司的供应商，在充配电系统等领域有紧密的合作；公司的子公司均胜群英参与了贾维斯JARVIS人形机器人的项目。	（香山股份，“供应商”，国内头部飞行汽车公司），（香山股份，“生产”，充配电系统）
神州泰岳：未与国外企业合作小型核电站项目有投资者问，贵公司有没有和国外企业合作小型核电站的项目？或者意向？神州泰岳在互动平台表示，公司应用于工业领域的高安全、高带宽场景与高容量物联网有机结合的系列产品—Nu-WIFI系列产品，拥有完全自主知识产权，并已应用到中核、广核在内的多个相关核电站的核岛、厂房、厂区等环境，为客户提供高速无线通信能力和低功耗物联网应用能力。截至目前，公司未与国外企业合作小型核电站项目。	（神州泰岳，“生产”，Nu-WIFI系列产品），（神州泰岳，“供应商”，中核），（神州泰岳，“供应商”，广核）
新国都：已完成部分机构数字人民币技术联调和系统测试有投资者问，请问公司的AR眼镜是否与手机联结后就可观看手机中的视频？与华为手机是否适配？创维数字在互动平台表示，公司的轻交互AR眼镜可与手机、OTT盒子+音响连接享高清大屏观影，更多信息请您留意公司披露的定期报告、法定信息披露媒体及巨潮资讯网（http://www.cninfo.com.cn）披露的相关内容。	（创维数字，“生产”，轻交互AR眼镜）
四维图新：公司当前聚焦汽车智能化主赛道有投资者问，请问思维图新在低空经济方面有哪些布局？四维图新在互动平台表示，公司当前聚焦汽车智能化主赛道，致力于成为以智驾为核心，整合提供芯片、座舱、数据等产品的软硬件组合方案供应商，同时也会随时关注产业链上下游及新兴机会。	（四维图新，“生产”，芯片），（四维图新，“生产”，座舱），（四维图新，“生产”，数据）
公司产品暂不涉及光模块和无人飞行器 卓翼科技董秘回复财联社3月19日电，有投资者问，公开信息，卓翼科技（河源）主要从事移动终端、虚拟现实、信息系统集成服务、可穿戴智、智能家庭消费、物联网、光通信、智能车载、智能无人飞行器、智能家庭网关等设备的研发和制造，光通信里面有没有生产光模块？有那些光通信产品?无人飞行器是那些？卓翼科技在互动平台表示，公司主业是提供网络通讯、消费电子以及智能硬件产品的研发、生产制造与销售服务，公司产品暂不涉及光模块和无人飞行器。	（卓翼科技，“生产”，网络通讯产品），（卓翼科技，“生产”，消费电子产品），（卓翼科技，“生产”，智能硬件产品）
