text	label
<N>日，劲嘉股份发布“关于与美国英美烟草公司洽谈合作的提示性公告”证实，“公司与美国英美烟草公司正在接触洽谈为美国英美烟草公司提供烟标印刷的合作事宜”。	（劲嘉股份，“合作”，美国英美烟草公司），（美国英美烟草公司，“合作”，劲嘉股份）
<N>年<N>月，华菱集团与FMG签订战略合作协议，涉及低品位铁矿石开发、原矿加工等方面。	（华菱集团，“合作”，FMG），（FMG，“合作”，华菱集团）
天士力今日公告称，公司控股子公司天士力金纳生物技术有限公司药品“甲型H<N>N<N>流感病毒亚单位疫苗”收到国家食品药品监督管理局颁发的药品注册批件，	（天士力，“拥有”，天士力金纳生物技术有限公司）
保利地产也在<N>月份公告称，保利集团正在与中航集团探讨收购其房地产业务事宜。	（保利集团，“拥有”，保利地产）
双汇发展称，“瘦肉精”事件发生在今年<N>月，对公司<N>年度财报基本没有影响，但对上市公司和双汇集团的品牌信誉，	（双汇集团，“拥有”，双汇发展）
根据雀巢与阿里巴巴的合作规划，双方将以<N>月<N>日-<N>日的“雀巢超级品牌日”拉开合作升级序幕。	（雀巢，“合作”，阿里巴巴），（阿里巴巴，“合作”，雀巢）
同时，兴业证券高管人员协同保荐机构瑞银证券组成的路演推介团队将前往上海、深圳等三地开展面向询价机构的预路演推介活动。	（兴业证券，“合作”，瑞银证券），（瑞银证券，“合作”，兴业证券）
<N>日电备受关注的“富士康河南招工”一事有了新进展，中新社记者<N>日从河南省台办获悉，在该省濮阳市所招的首批<N>余名学员，已启程赴深圳富士康集团就业实习。	（富士康，“拥有”，富士康集团）
公开资料显示，北京创新中育的股东是尚德教育投资有限公司和北京中育未来教育科技有限公司，持股比例分别为<N>%和<N>%。	（尚德教育投资有限公司，“拥有”，北京创新中育）
蚂蚁金服还宣布，将在支付宝事业群首次尝试新的组织管理模式——班委制，由井贤栋担任班长，曾松柏与倪行军担任副班长，班委成员包括邹亮、陶莹。	（蚂蚁金服，“拥有”，支付宝）
华星集团划入中国国新管理	（中国国新，“拥有”，华星集团）
大众报业集团将所属的半岛传媒有限公司整体变更为山东大众传媒股份有限公司，	（大众报业集团，“拥有”，半岛传媒有限公司）
“重组后的双汇国际拥有的上市公司（双汇发展）市值近千亿，	（双汇国际，“拥有”，双汇发展）
其中，大新控股是注册在新加坡的船舶公司，主要经营远洋运输、船舶代理等，注册资金<N>万美元，大连国际持有<N>%的股权。	（大连国际，“拥有”，大新控股）
四川长虹董事长赵勇指出，四川长虹与IBM的合作关系又迈进了一大步，四川长虹将以此次战略合作为契机，借鉴、吸收IBM的先进理念和经验，	（四川长虹，“合作”，IBM），（IBM，“合作”，四川长虹）
农产品拟转让公司及下属全资子公司果菜公司合计持有的渔人码头公司<N>%股权。	（农产品，“拥有”，果菜公司）
道达尔中国区总代表努北堂在活动开幕式上说，而台下第一排，还坐着他的同事道达尔中国投资公司总裁杜德龙。	（道达尔，“拥有”，道达尔中国投资公司）
进入今年后，海康威视相继与美国英特尔和德国思爱普等展开合作，开始拓展通过采用机器人和无人机的移动终端进行监控这一新领域。	（海康威视，“合作”，美国英特尔），（美国英特尔，“合作”，海康威视）
协鑫集成将发挥与协鑫新能源的协同效应，在市场和渠道、资源整合，进一步扩大公司在全球市场的份额。	（协鑫集成，“合作”，协鑫新能源），（协鑫新能源，“合作”，协鑫集成）
记者:在广州医药集团有限公司，据我们了解，著名商标王老吉的持有人就是这家公司，	（广州医药集团有限公司，“拥有”，王老吉）
“过不了多久，法国人的浪漫也有可能在诸如海富通基金管理公司这些原属于富通集团旗下业务的公司里面看到”。	（富通集团，“拥有”，海富通基金管理公司）
日前，记者从苏宁电器了解到，公司于近日在青岛与海尔集团签署了<N>年实现<N>亿元的销售目标的合作协议框架，具体涉及销售计划、人员培训等多个层面。	（苏宁电器，“合作”，海尔集团），（海尔集团，“合作”，苏宁电器）
<N>月<N>日，丹麦马士基集团华东区总裁吴岱玮在二季度业绩媒体说明会上透露，马士基集团决定将旗下油轮业务、丹马士公司和施维策公司进行整合，	（马士基集团，“拥有”，施维策公司）
由于广晟公司旗下的一级集团公司广晟有色集团有限公司前期重组*ST聚酯，	（广晟公司，“拥有”，广晟有色集团有限公司）
<N>年<N>月，江西铜业所属贵溪冶炼厂年产<N>万吨铜冶炼工程竣工投产，标志着企业正式形成年产<N>万吨阴极铜的产能，产量规模一举跃升为国内第一、世界第三。	（江西铜业，“拥有”，贵溪冶炼厂）
近日，贵州百灵发布公告，已与云南省工业投资控股集团有限责任公司初步达成战略合作意向，拟投资入股云南植物药业有限公司。	（贵州百灵，“合作”，云南省工业投资控股集团有限责任公司），（云南省工业投资控股集团有限责任公司，“合作”，贵州百灵）
昨日华纺股份公告，华诚投资因不能清偿到期债务，且资产不足以清偿全部债务，申请破产清算。	（华纺股份，“拥有”，华诚投资）
历史数据显示，昇辉电子来自碧桂园的收入占比分别为<N>%、<N>%。	（昇辉电子，“合作”，碧桂园），（碧桂园，“合作”，昇辉电子）
中石化与阿里“混搭”之后，将产生怎样的化学反应?	（中石化，“合作”，阿里），（阿里，“合作”，中石化）
康恩贝今日公告表示，<N>月<N>日，公司与美国AFP开发公司正式签订《AFP项目合作协议书》。	（康恩贝，“合作”，美国AFP开发公司），（美国AFP开发公司，“合作”，康恩贝）
东风裕隆和郑州日产作为两个营销主力持续保持快速发展:东风裕隆累计实现销售<N>辆，	（东风裕隆，“合作”，郑州日产），（郑州日产，“合作”，东风裕隆）
面，拟购买的标的资产——华强发展账面值约<N>.0<N>万元，预估值约1<N>0000万元，华强发展拥有华强房地产、华强市场、华强指数和华强网络<N>家子公司。	（华强，“拥有”，华强市场）
<N>月<N>日，武钢宣称与委内瑞拉矿业集团“达成了首个铁矿石中国价”。	（武钢，“合作”，委内瑞拉矿业集团），（委内瑞拉矿业集团，“合作”，武钢）
