text	label
骨性关节炎@在其他关节（如踝关节和腕关节），骨性关节炎比较少见，并且一般有潜在的病因（如结晶性关节病、创伤）。	（骨性关节炎，病因，结晶性关节病），（骨性关节炎,病因,创伤）
稳定型缺血性心脏疾病@ 现有的抗心绞痛药物 * 抗心绞痛药物的主要目标是减少心绞痛症状，改善生活质量。稳定型缺血性心脏疾病@ * β受体阻滞剂是一线用药，尤其是对于既往有心肌梗死或左心功能不全史的患者，因为β受体阻滞剂可降低这些患者未来心肌梗死或死亡的风险。	（心绞痛，药物治疗，β受体阻滞剂）
感染性心内膜炎@引起 ICU 中感染性心内膜炎的最常见病原体是葡萄球菌，其次是链球菌。感染性心内膜炎@ICU 中感染性心内膜炎的另外一个专有特点是真菌性感染性心内膜炎的发生率增高，因此，如果出现对抗生素治疗无反应的情况时，应考虑真菌性感染性心内膜炎。	（感染性心内膜炎，病因，链球菌）
稳定型缺血性心脏疾病@ * 所有年龄超过 21 岁、LDL 大于或等于 190 的患者都应当接受高强度他汀类药物治疗。	（稳定型缺血性心脏疾病，药物治疗，高强度他汀类药物治疗）
营养性巨幼细胞性贫血（nutritional megaloblastic anemia)是由于维生素B12和（或）叶酸缺乏所致的一种大细胞性贫血。 维生素B12和叶酸治疗 有神经精神症状者,应以维生素Bl2治疗为主,如单用叶酸反而有加重症状的可能。	（营养性巨幼细胞性贫血，药物治疗，维生素B12），（营养性巨幼细胞性贫血,药物治疗,叶酸），（营养性巨幼细胞性贫血,病因,维生素B12和（或）叶酸缺乏）
【病因和发病机制】 （一）急性 TIN 在小儿由全身性感染和药物引起者为主。前者如细菌、钩端螺旋体、分枝杆菌、CMV病毒、Hanta病毒以及多瘤病毒等。	（急性 TIN，病因，细菌），（急性 TIN,病因,钩端螺旋体），（急性 TIN,病因,分枝杆菌），（急性 TIN,病因,CMV病毒），（急性 TIN,病因,Hanta病毒），（急性 TIN,病因,多瘤病毒），（急性 TIN,病因,全身性感染），（急性 TIN,病因,药物）
失眠症@对于那些维持睡眠困难的患者，适合已知能够减少入睡后觉醒的安眠药，包括半衰期较长的安眠药以及延长药物作用时间的制剂。失眠症@这些药物包括唑吡坦（缓释剂）和艾司佐匹克隆。	（失眠症，药物治疗，唑吡坦（缓释剂）），（失眠症,药物治疗,艾司佐匹克隆），（失眠症,药物治疗,半衰期较长的安眠药）
曲恩汀也是一种络合剂，可促进铜的排出，有时可作为伴有神经系统症状的WD患者的一线药物，对各型患者均有效，一般剂量为40～50mg/（kg?d）。 其他排铜药物：二巯基丙醇（因副作用大已少用）、二巯基丁二酸钠、二巯基丁二酸胶囊以及二巯基丙磺酸钠等重金属离子鳌合剂。	（WD，药物治疗，二巯基丙醇），（WD,药物治疗,二巯基丁二酸钠），（WD,药物治疗,二巯基丁二酸胶囊），（WD,药物治疗,二巯基丙磺酸钠）
急性髓性白血病@### 呼吸困难 许多患者出现了呼吸困难。急性髓性白血病@由骨髓浸润、贫血或全身炎性细胞因子相关性作用所致。	（急性髓性白血病，病因，骨髓浸润），（急性髓性白血病,病因,贫血），（急性髓性白血病,临床表现,呼吸困难）
B族链球菌感染@脓毒症 * 一线疗法：青霉素或氨苄西林。B族链球菌感染@ * 青霉素过敏患者：二代或三代头孢菌素（可能适用，具体取决于过敏反应类型）或者万古霉素。	（脓毒症，药物治疗，二代或三代头孢菌素），（脓毒症,药物治疗,万古霉素），（脓毒症,药物治疗,青霉素），（脓毒症,药物治疗,氨苄西林）
狂犬病@可能有蝙蝠咬伤或接触史。	（狂犬病，病因，蝙蝠咬伤）
（一）早期处理 小面积烧烫伤，治疗重点在创面本身。处理时应注意保护创面，保持呼吸道通畅，并迅速建立静脉输液通道，使用镇静和止痛药物。	（烧烫伤，药物治疗，镇静和止痛药物）
（二）对症治疗 有荨麻疹或血管神经性水肿时，应用抗组胺药物和钙剂；腹痛时应用解痉剂，消化道出血时应禁食，可静脉注射西咪替丁20～40mg/（kg?d），必要时输血。	（荨麻疹，药物治疗，抗组胺药物），（血管神经性水肿,药物治疗,钙剂），（腹痛,药物治疗,解痉剂），（消化道出血,药物治疗,西咪替丁），（消化道出血,药物治疗,输血）
垂体功能减退@低剂量辐射后会发生单纯生长激素缺乏，而高剂量辐射后会发生全垂体功能减退。	（垂体功能减退，病因，高剂量辐射），（单纯生长激素缺乏,病因,低剂量辐射）
癫痫持续状态@咪达唑仑是最佳首选药物。	（癫痫持续状态，药物治疗，咪达唑仑）
第三节 室间隔缺损 室间隔缺损（ventricular septal defect，VSD）是最常见的先天性心血管畸形，可占先心病人的20%。 有中至大型左向右分流，产生心力衰竭的婴儿，当可能出现缺损部分或完全自然关闭时，也可最初以药物治疗：①利尿剂降低心脏负荷和体循环静脉的充血状况。	（室间隔缺损，药物治疗，利尿剂）
垂体功能减退@内分泌替代疗法旨在避免过度治疗的同时尽可能模仿正常激素环境，从而改善症状。垂体功能减退@例如，用皮质类固醇而不是促肾上腺皮质激素替代。	（垂体功能减退，药物治疗，皮质类固醇），（垂体功能减退,药物治疗,内分泌替代疗法）
普通感冒@[ Otitis media ](/topics/zh-cn/39) ### 哮喘急性发作 | 短期 | 低 气短、喘鸣、咳嗽和胸闷等症状进行性加重。 普通感冒@给予支气管扩张剂和皮质类固醇以减轻气流阻塞。	（哮喘急性发作，药物治疗，支气管扩张剂），（哮喘急性发作,药物治疗,皮质类固醇），（哮喘急性发作,临床表现,气短），（哮喘急性发作,临床表现,喘鸣），（哮喘急性发作,临床表现,咳嗽），（哮喘急性发作,临床表现,胸闷）
（三）化疗 目前，对肾母细胞瘤疗效最佳，可显著控制局部复发和转移的药物为放线菌素D、长春新碱和阿霉素等。 2.长春新碱（VCR）术后当日开始，每周静脉注射1. 5mg/m2。	（肾母细胞瘤，药物治疗，长春新碱）
【临床表现】 药物性肾损害可表现为各种临床综合征，与药物种类、损害机制、使用时间及机体状况有关。 （七）梗阻性肾损害 主要由大量磺胺结晶阻塞肾小管引起，肿瘤化疗药物也可引起尿酸结晶阻塞肾小管。	（梗阻性肾损害，病因，尿酸结晶阻塞肾小管）
痛风@该病通常应用水合作用治疗，使用别嘌呤醇预防。	（痛风，药物治疗，别嘌呤醇）
类风湿关节炎@开始DMARD治疗前需检查乙型肝炎及丙型肝炎、纯化蛋白衍生物（PPD）、全血细胞计数和肝功能。类风湿关节炎@在起始治疗的每4-8周应进行FBC和LFT的实验室监测。	（类风湿关节炎，药物治疗，DMARD）
营养性巨幼细胞性贫血（nutritional megaloblastic anemia)是由于维生素B12和（或）叶酸缺乏所致的一种大细胞性贫血。因使用抗叶酸代谢药物而致病者，可用亚叶酸钙（calc leucovorin)治疗。	（营养性巨幼细胞性贫血，药物治疗，亚叶酸钙），（营养性巨幼细胞性贫血,病因,维生素B12和（或）叶酸缺乏）
传染性单核细胞增多症（infectious mononucleosis,IM)是由 EB 病毒（Epstein-Barr virus,EBV)所致的急性感染性疾病,主要侵犯儿童和青少年,临床上以发热、咽喉痛、肝脾和淋巴结肿大、外周血中淋巴细胞增多并出现异型淋巴细胞等为特征。虽然也在妇女生殖道内发现EBV，但垂直传播问题尚有争议。	（传染性单核细胞增多症，临床表现，发热），（传染性单核细胞增多症,临床表现,咽喉痛），（传染性单核细胞增多症,临床表现,肝脾和淋巴结肿大）
急性白血病占90% ~95%,慢性白血病仅占3% ~5%。 遗传素质 在某些患遗传性疾病的患儿中，如唐氏综合征、先天性睾丸发育不全症、先天性再生障碍性贫血伴有多发畸形(Fanconi贫血）、先天性远端毛细血管扩张性红斑症（Bloom综合征）以及严重联合免疫缺陷病等，其白血病的发病率比一般儿童明显增高。	（急性白血病，病因，遗传素质）
狂犬病@如果解剖结构允许，应在伤口和伤口周围注入尽可能多的抗体。狂犬病@如果解剖结构不允许，应将剩余的hRIG通过肌肉注射。	（狂犬病，药物治疗，hRIG），（狂犬病,药物治疗,抗体）
高血压急症@硝普钠可强效扩张动静脉，降低心脏后负荷及前负荷。 高血压急症@### 主动脉夹层 查看全部   首选 –   拉贝洛尔或艾司洛尔 #### 第一选择 [ 拉贝洛尔 ](/druglink?dd=MARTINDALE) open_in_new : 根据治疗反应，每 10 min 静注 20 mg，总剂量上限 300 mg，或 0.5 至 2 mg/min 静脉输注。	（高血压急症，药物治疗，拉贝洛尔）
流行性腮腺炎（mumps，epidemic parotitis)是由腮腺炎病毒引起的急性呼吸道传染病,最常影响 5~ 15岁的儿童。 【病原与流行病学】 腮腺炎病毒属于副黏病毒科副黏病毒属的单链RNA病毒。	（流行性腮腺炎，病因，腮腺炎病毒）
第五节 心房扑动 心房扑动（简称房扑）系由于激动在心房内快速环形运动所产生的一种主动性快速而规则的心律失常。心脏正常的新生儿患儿，如对地高辛有效，应用药6～12个月，然后停药。	（心房扑动，药物治疗，地高辛）
急性咽喉炎@口服头孢菌素并未被证明对咽部淋病绝对有效，但可以在试验性治疗时使用。	（急性咽喉炎，药物治疗，头孢菌素）
持续性抑郁症@然而，对于出现躯体疾病并发抑郁的个体患者，证实药物治疗并不比安慰剂更有效。	（持续性抑郁症，药物治疗，安慰剂）
溶血性贫血@### 巴贝虫病 传染性病原体和红细胞的直接相互作用会导致溶血。	（溶血性贫血，病因，巴贝虫病）
急性阑尾炎@应该立即开始静脉使用抗生素（例如头孢西丁、替卡西林/克拉维酸或哌拉西林/他唑巴坦）。急性阑尾炎@根据当地细菌敏感性和诊疗方案，可能使用抗生素联合治疗方案。	（急性阑尾炎，药物治疗，抗生素联合治疗方案），（急性阑尾炎,药物治疗,抗生素联合治疗），（急性阑尾炎,药物治疗,抗生素），（急性阑尾炎,药物治疗,头孢西丁），（急性阑尾炎,药物治疗,替卡西林/克拉维酸），（急性阑尾炎,药物治疗,哌拉西林/他唑巴坦）
转移性乳腺癌@## 新兴疗法 ### 新型联合治疗 一项 Ⅱ 期临床试验的数据表明，依维莫司加曲妥珠单抗和紫杉醇在高度耐药的人表皮生长因子受体-2 (HER2) 阳性晚期乳腺癌患者中，表现出了喜人的活性。	（晚期乳腺癌，药物治疗，紫杉醇）
磨牙症@主要由于中枢神经系统功能异常（压力、情感、个性、睡眠调节、自主神经系统）而非周围神经系统功能或牙齿形态与咬合异常导致本病。	（磨牙症，病因，牙齿形态与咬合异常）
口咽癌@在发展中国家，口咽癌与咀嚼烟草和槟榔相关，即使现在咀嚼槟榔已是公认的口腔癌症危险因素。	（口咽癌，病因，咀嚼烟草），（口咽癌,病因,槟榔），（口咽癌,病因,咀嚼槟榔）
