text	label
【病因】 儿童胰腺炎的病因与成人显著不同。儿童的常见病因是病毒感染、外伤、多系统疾病和胰胆管系统的先天畸形，其中以病毒感染最为重要。	"（儿童胰腺炎，""病因""，病毒感染），（儿童胰腺炎，“病因”，外伤），（儿童胰腺炎，“病因”，多系统疾病），（儿童胰腺炎，“病因”，胰胆管系统的先天畸形）"
稳定型缺血性心脏疾病@若确实无法耐受他汀类药物，可以合理采用依折麦布、胆酸螯合剂或前蛋白转化酶枯草溶菌素 9 (PCSK9) 抑制剂开始进行治疗。	"（稳定型缺血性心脏疾病，""药物治疗""，依折麦布），（稳定型缺血性心脏疾病，“药物治疗”，胆酸螯合剂）"
膀胱癌@也可使用塞替派和多柔比星。	"（膀胱癌，""药物治疗""，塞替派），（膀胱癌，“药物治疗”，多柔比星）"
曲恩汀也是一种络合剂，可促进铜的排出，有时可作为伴有神经系统症状的WD患者的一线药物，对各型患者均有效，一般剂量为40～50mg/（kg?d）。 其他排铜药物：二巯基丙醇（因副作用大已少用）、二巯基丁二酸钠、二巯基丁二酸胶囊以及二巯基丙磺酸钠等重金属离子鳌合剂。	"（WD，""药物治疗""，二巯基丙醇），（WD，“药物治疗”，二巯基丁二酸钠），（WD，“药物治疗”，二巯基丁二酸胶囊），（WD，“药物治疗”，二巯基丙磺酸钠）"
AVP基因结构异常、下丘脑及神经垂体发育缺陷，或下丘脑-神经束-神经垂体区域受到炎症、肿瘤、外伤、手术、自身免疫损伤等均能产生中枢性尿崩症。 血生化检査 血钠、钾、氯、钙、镁、磷等一般正常,肌酐、尿素氮正常，血渗透压正常或偏高。	"（中枢性尿崩症，""病因""，AVP基因结构异常）"
（二）蚕豆病 （favism） 本病最初因食用蚕豆、及其制品后发生急性溶血性贫血、黄疸而得名，多见于我国南方以及地中海沿岸国家的某些人群。重症者可在短期内出现溶血危象，血红蛋白可下降60%～70%，常有畏寒、发热、恶心、呕吐、腹痛和背痛等，同时出现血红蛋白尿，尿呈酱油色、浓茶色或暗红色。	"（蚕豆病，""临床表现""，畏寒），（蚕豆病，“临床表现”，发热），（蚕豆病，“临床表现”，恶心），（蚕豆病，“临床表现”，呕吐），（蚕豆病，“临床表现”，腹痛），（蚕豆病，“临床表现”，背痛），（蚕豆病，“临床表现”，血红蛋白尿），（蚕豆病，“病因”，食用蚕豆、及其制品）"
肥厚型心肌病@附加 –   地高辛 针对经选择患者组部分患者的治疗推荐 #### 第一选择 [ 地高辛 ](/druglink?dd=MARTINDALE) open_in_new : 0.125-0.5mg口服每日一次 地高辛可用于左心室扩张伴心功能下降的患者。肥厚型心肌病@在左室肥厚的情况下使用地高辛并非常规。	"（肥厚型心肌病，""药物治疗""，地高辛）"
急性膀胱炎@## 病因学 最常见的病原体是 _大肠杆菌_ ，见于约 80% 的病例。急性膀胱炎@ 其他相对少见的病原体包括 _腐生葡萄球菌_ 、 _肺炎克雷伯菌_ 、 _变形杆菌_ 和其他细菌，如： _假单胞杆菌_ 、 _肠球菌_ 、 _肠杆菌_ 和 B 型链球菌。	"（急性膀胱炎，""病因""，腐生葡萄球菌），（急性膀胱炎，“病因”，肺炎克雷伯菌），（急性膀胱炎，“病因”，变形杆菌），（急性膀胱炎，“病因”，假单胞杆菌），（急性膀胱炎，“病因”，肠球菌），（急性膀胱炎，“病因”，B 型链球菌），（急性膀胱炎，“病因”，大肠杆菌）"
急性阑尾炎@ ### 阑尾脓肿 | 短期 | 低 通常随疾病进展而发生，尤其是在穿孔发生之后。 急性阑尾炎@初始治疗包括静脉使用抗生素和 CT 引导下脓肿引流。	"（阑尾脓肿，""药物治疗""，抗生素）"
幽门螺杆菌感染与NSAIDs/ASA诱发的胃炎是消化性溃疡的两大潜在因素，所以对幽门螺杆菌阳性的溃疡患者亦予以幽门螺杆菌根除疗法；如果可能，停用ASA/NSAIDs。 3.抗胆碱能药物阻断壁细胞的乙酰胆碱受体（M1分布胃黏膜，尤为壁细胞，M2分布心、膈肌、膀胱及胃肠平滑肌），乙酰胆碱对G细胞的作用，使胃酸及胃泌素分泌减少。	"（消化性溃疡，""药物治疗""，抗胆碱能药物），（消化性溃疡，“药物治疗”，乙酰胆碱）"
