text	label
公司面向航空安全领域推出了系列雷达产品 雷科防务董秘回复财联社3月11日电，有投资者问，请问，公司在低空经济领域有哪些突破？公司股价长期底部盘桓管理层采取了哪些措施？雷科防务在互动平台表示，公司面向航空安全领域推出了系列雷达产品，其中，鸟情探驱管一体化系统主要完成机场鸟情的探测识别、驱离、管理一体化工作，以解决鸟类目标的探测及防范难题，为机场等重要场所提供实时鸟情信息；此外，公司的无人机防御系统在民航领域能够对低空入侵飞行器进行预警、跟踪，处置，并建立无人机识别库，实现无人值守。公司管理层将继续加强经营管理，持续改善经营业绩，促进高质量发展。	（雷科防务，“生产”，鸟情探驱管一体化系统），（雷科防务，“生产”，无人机防御系统）
新国都：已完成部分机构数字人民币技术联调和系统测试有投资者问，请问公司的AR眼镜是否与手机联结后就可观看手机中的视频？与华为手机是否适配？创维数字在互动平台表示，公司的轻交互AR眼镜可与手机、OTT盒子+音响连接享高清大屏观影，更多信息请您留意公司披露的定期报告、法定信息披露媒体及巨潮资讯网（http://www.cninfo.com.cn）披露的相关内容。	（创维数字，“生产”，轻交互AR眼镜）
飞凯材料：TMO产品已实现量产且供货稳定【飞凯材料：TMO产品已实现量产且供货稳定】财联社11月18日电，飞凯材料在互动平台表示，公司TMO产品已经实现量产，目前供货稳定。	（飞凯材料，“生产”，TMO产品）
兴森科技：与三星合作涉及CSP封装基板和PCB板有投资者问，董秘您好.公司与三星合作都涉及哪些产品.abf是否有合作.兴森科技在互动平台表示，公司是大陆本土最早通过三星认证的IC封装基板供应商，合作涉及CSP封装基板和PCB板。	（兴森科技，“供应商”，三星），（兴森科技，“生产”，CSP封装基板），（兴森科技，“生产”，PCB板）
探路者：将积极响应国家政策导向，持续加大研发创新力度有投资者问，我国首个国家空间科学规划《国家空间科学中长期发展规划（2024—2050年）》发布，涉及到多个太空科学研究方向。而探路者公司是我国唯一太空舱内宇航服供应商，是否未来会契合《规划》对我国太空任务研发更多的高科技宇航服出来？《规划》对公司未来太空发展会有怎么样的帮助？探路者在互动平台表示，公司从2016年起助力中国航天事业，为航天员等相关领域开发定制十余类舱内服或地面服装装备等产品，并参与相关服装标准制定。《国家空间科学中长期发展规划（2024—2050年）》明确了我国空间科学发展目标，形成我国空间科学中长期发展路线图，有力支撑航天强国、科技强国的建设。公司将积极响应国家政策导向及市场需求，认真学习研究新政策，一如既往的按既定战略结合国家相关政策推动公司发展，持续加大研发创新力度。	（探路者公司，“生产”，宇航服），（探路者公司，“生产”，地面服装装备等产品）
中原内配：公司将始终集中精力和资源，紧密围绕“汽车发动机核心零部件领域和氢燃料电池核心零部件”产业发展方向开展业务有投资者问，请问贵司，23年业绩增长势头较好，但也反映出现金流有所紧张的苗头，24年业绩若仍保持较快增长，如何提升资金储备？中原内配在互动平台表示，公司围绕气缸套、钢制活塞、活塞环、电控执行器、复合制动鼓等主营产品获得了良好的资金储备，为氢能产业转型项目的实施提供了有力保障。公司将始终集中精力和资源，紧密围绕“汽车发动机核心零部件领域和氢燃料电池核心零部件”产业发展方向开展业务，其他对外投资事项公司会结合自身发展需求审慎决策，确保公司健康、长久发展。	（中原内配，“生产”，气缸套），（中原内配，“生产”，钢制活塞），（中原内配，“生产”，活塞环），（中原内配，“生产”，电控执行器），（中原内配，“生产”，复合制动鼓）
锦富技术：子公司厦门力富为宁德时代主要供应商，供货稳定有投资者问，子公司力富电子的锂电池隔热气凝胶有扩大业务范围吗？对林德时代的供货稳定吗？对现在的锂电自燃有没有很好的阻燃效果？锦富技术在互动平台表示，尊敬的投资者，您好！公司子公司厦门力富为宁德时代气凝胶隔热产品的主要供应商之一，目前对其供货保持稳定，其气凝胶隔热制品主要应用于动力锂电池电芯间的热防护。为进一步提升盈利能力，厦门力富除了积极维护现有动力电池领域客户外，亦持续与储能电池头部企业及其他潜在客户建立联系，共同探讨合作机会，谢谢！	（厦门力富，“生产”，气凝胶隔热产品），（气凝胶隔热产品，“构成”，动力锂电池），（厦门力富，“供应商”，宁德时代）
特发信息：公司主要业务包含线缆制造、光电制造、智慧服务和科技融合四大业务板块有投资者问，董秘你好：请问贵公司主要经营业务包括什么！特发信息在互动平台表示，公司立足于光通信主导产业，主要业务包含线缆制造、光电制造、智慧服务和科技融合四大业务板块。线缆制造板块产品主要涵盖光纤、光缆、电力导、地线产品、光连接器、铝包钢线材、光缆金具及附件等新一代信息技术基础材料；光电制造板块具备覆盖无线、固网、数据中心等传输网节点的无源设备制造能力；智慧服务板块聚焦移动互联网5G时代的基础设施建设，提供智慧网络工程和数据中心的规划设计、建设施工、运营维护和相关产品的一体化、定制化服务，在云服务、大数据业务等领域，为客户提供从单一产品业务到多元通信产品、从产品制造到施工交付、从规划设计到运营服务的综合解决方案；科技融合板块产品主要军工配套电子信号与信息处理、高性能运算、数据存储、嵌入式计算机、测控仿真平台、卫星通信、装备制造，主要从事研发和生产各类军工智能终端、软件、大数据平台等业务，为各军兵种提供先进的装备信息化产品。	（特发信息，“生产”，光纤），（特发信息，“生产”，光缆），（特发信息，“生产”，电力导线），（特发信息，“生产”，地线产品），（特发信息，“生产”，光连接器），（特发信息，“生产”，铝包钢线材），（特发信息，“生产”，光缆金具及附件），（特发信息，“生产”，无源设备），（特发信息，“生产”，军工智能终端），（特发信息，“生产”，软件），（特发信息，“生产”，大数据平台）
祥鑫科技：产品可应用于GPU冷却、服务器冷却和IDC数据中心有投资者问，公司产品是否运用于算力业务？祥鑫科技在互动平台表示，尊敬的投资者，您好！公司拥有热管理系统相关的产品，并熟练掌握液冷散热技术，能够根据客户的需求提供相应的散热产品。目前公司的埋管式水冷板、水冷散热器、新能源散热器、剖沟散热器等产品可应用于GPU冷却、服务器冷却和IDC数据中心以及汽车领域。此外，公司密切关注液冷技术的发展情况，不断挖掘相关散热产品的市场机会。公司已经为市场头部客户提供相关产品并能够根据客户需求进行技术储备。感谢您的关注！	（祥鑫科技，“生产”，散热产品），（祥鑫科技，“生产”，埋管式水冷），（祥鑫科技，“生产”，水冷散热器），（祥鑫科技，“生产”，新能源散热器），（祥鑫科技，“生产”，剖沟散热器）
南矿集团：公司暂无产品应用于低空经济领域有投资者问，贵公司在低空经济领域有何建树？南矿集团在互动平台表示，公司主营业务为砂石骨料和金属矿山相关的破碎、 筛分设备的研发、 设计、生产、 销售及后市场服务， 是国内技术领先的中高端矿机装备供应服务商之一，公司暂无产品应用于低空经济领域。	（南矿集团，“生产”，砂石骨料和金属矿山相关的破碎、筛分设备）
炼石航空：子公司成都航宇参与国内多家主机厂发动机研制工作有投资者问，10月18日，常州迎来了W5000无人货运飞机的成功总装下线，W5000配装了两台中国航发自主研制的AEP100发动机。这款发动机是中国航发在AES100涡轴发动机基础上发展的900千瓦级民用涡桨发动机，而成都航宇是该AES100涡轮叶片的合格供应商之一。现公司正“百日攻坚”战，落实拓展业务主体增量订单口号，问航宇是否中标AEP100的供应商？炼石航空在互动平台表示，尊敬的投资者，您好！公司子公司成都航宇积极参与了国内多家主机厂发动机的研制工作，后续将继续配合发动机主机厂的需求并提供高质量合格产品，为我国航空发动机关键热端部件的国产化、产业化、市场化做出贡献。因涉及商业秘密及客户要求，对于涉及具体产品型号和规格的提问，无论公司是否参与，都不便予以回复，请谅解。感谢您对炼石航空的关注！	（中国航发，“生产”，AEP100发动机），（AEP100发动机，“构成”，W5000），（中国航发，“生产”，AES100涡轴发动机），（成都航宇，“供应商”，中国航发），（成都航宇，“生产”，涡轮叶片），（涡轮叶片，“构成”，AES100涡轴发动机），（成都航宇，“供应商”，发动机主机厂）
兴森科技：FCBGA封装基板项目应用于AI芯片等有投资者问，兴森科技目前有配合公司主要大客户开发AI芯片封装载板吗？目前公司的AI芯片封装载板有没有在下游封装厂商进行送样测试封装？另外目前小批量出货的封装载板主要是应用在哪些方面的产品？谢谢！兴森科技在互动平台表示，尊敬的投资者，您好！公司FCBGA封装基板项目已交付样品订单应用领域包括服务器、AI芯片、智能驾驶、交换机等。产品封测和可靠性验证在持续推进中，已反馈封测结果均为未发现基板异常。小批量量产订单产品应用于AI相关领域。感谢您的关注。	（兴森科技，“生产”，FCBGA封装基板）
